T_amb (F), RH_amb (%), Tmains (F), Draw Volume(gal), T_tank (F), E_consumed (Btu), E_delivered (Btu), E_tankloss (Btu) 
71.0,15.4161,50.0784,[ 0.],[ 124.99406635],0,[ 0.],[ 132.95950525]
71.0,15.4161,50.0784,[ 0.],[ 124.98813335],0,[ 0.],[ 132.94489534]
71.0,15.4161,50.0784,[ 0.],[ 124.982201],0,[ 0.],[ 132.93028703]
71.0,15.4161,50.0784,[ 0.],[ 124.97626931],0,[ 0.],[ 132.91568032]
71.0,15.4161,50.0784,[ 0.],[ 124.97033826],0,[ 0.],[ 132.90107523]
71.0,15.4161,50.0784,[ 0.],[ 124.96440787],0,[ 0.],[ 132.88647173]
71.0,15.4161,50.0784,[ 0.],[ 124.95847813],0,[ 0.],[ 132.87186984]
71.0,15.4161,50.0784,[ 0.],[ 124.95254904],0,[ 0.],[ 132.85726956]
71.0,15.4161,50.0784,[ 0.],[ 124.9466206],0,[ 0.],[ 132.84267088]
71.0,15.4161,50.0784,[ 0.],[ 124.94069282],0,[ 0.],[ 132.8280738]
71.0,15.4161,50.0784,[ 0.],[ 124.93476568],0,[ 0.],[ 132.81347833]
71.0,15.4161,50.0784,[ 0.],[ 124.9288392],0,[ 0.],[ 132.79888446]
71.0,15.4161,50.0784,[ 0.],[ 124.92291337],0,[ 0.],[ 132.7842922]
71.0,15.4161,50.0784,[ 0.],[ 124.91698819],0,[ 0.],[ 132.76970154]
71.0,15.4161,50.0784,[ 0.],[ 124.91106366],0,[ 0.],[ 132.75511248]
71.0,15.4161,50.0784,[ 0.],[ 124.90513978],0,[ 0.],[ 132.74052502]
71.0,15.4161,50.0784,[ 0.],[ 124.89921655],0,[ 0.],[ 132.72593917]
71.0,15.4161,50.0784,[ 0.],[ 124.89329397],0,[ 0.],[ 132.71135492]
71.0,15.4161,50.0784,[ 0.],[ 124.88737205],0,[ 0.],[ 132.69677228]
71.0,15.4161,50.0784,[ 0.],[ 124.88145077],0,[ 0.],[ 132.68219123]
71.0,15.4161,50.0784,[ 0.],[ 124.87553015],0,[ 0.],[ 132.66761179]
71.0,15.4161,50.0784,[ 0.],[ 124.86961017],0,[ 0.],[ 132.65303395]
71.0,15.4161,50.0784,[ 0.],[ 124.86369085],0,[ 0.],[ 132.63845771]
71.0,15.4161,50.0784,[ 0.],[ 124.85777217],0,[ 0.],[ 132.62388307]
71.0,15.4161,50.0784,[ 0.],[ 124.85185415],0,[ 0.],[ 132.60931004]
71.0,15.4161,50.0784,[ 0.],[ 124.84593678],0,[ 0.],[ 132.59473861]
71.0,15.4161,50.0784,[ 0.],[ 124.84002006],0,[ 0.],[ 132.58016877]
71.0,15.4161,50.0784,[ 0.],[ 124.83410398],0,[ 0.],[ 132.56560054]
71.0,15.4161,50.0784,[ 0.],[ 124.82818856],0,[ 0.],[ 132.55103391]
71.0,15.4161,50.0784,[ 0.],[ 124.82227379],0,[ 0.],[ 132.53646888]
71.0,15.4161,50.0784,[ 0.],[ 124.81635967],0,[ 0.],[ 132.52190545]
71.0,15.4161,50.0784,[ 0.],[ 124.81044619],0,[ 0.],[ 132.50734362]
71.0,15.4161,50.0784,[ 0.],[ 124.80453337],0,[ 0.],[ 132.49278339]
71.0,15.4161,50.0784,[ 0.],[ 124.7986212],0,[ 0.],[ 132.47822476]
71.0,15.4161,50.0784,[ 0.],[ 124.79270967],0,[ 0.],[ 132.46366773]
71.0,15.4161,50.0784,[ 0.],[ 124.7867988],0,[ 0.],[ 132.4491123]
71.0,15.4161,50.0784,[ 0.],[ 124.78088858],0,[ 0.],[ 132.43455847]
71.0,15.4161,50.0784,[ 0.],[ 124.774979],0,[ 0.],[ 132.42000624]
71.0,15.4161,50.0784,[ 0.],[ 124.76907008],0,[ 0.],[ 132.40545561]
71.0,15.4161,50.0784,[ 0.],[ 124.7631618],0,[ 0.],[ 132.39090657]
71.0,15.4161,50.0784,[ 0.],[ 124.75725417],0,[ 0.],[ 132.37635914]
71.0,15.4161,50.0784,[ 0.],[ 124.75134719],0,[ 0.],[ 132.3618133]
71.0,15.4161,50.0784,[ 0.],[ 124.74544087],0,[ 0.],[ 132.34726906]
71.0,15.4161,50.0784,[ 0.],[ 124.73953519],0,[ 0.],[ 132.33272642]
71.0,15.4161,50.0784,[ 0.],[ 124.73363015],0,[ 0.],[ 132.31818538]
71.0,15.4161,50.0784,[ 0.],[ 124.72772577],0,[ 0.],[ 132.30364594]
71.0,15.4161,50.0784,[ 0.],[ 124.72182204],0,[ 0.],[ 132.28910809]
71.0,15.4161,50.0784,[ 0.],[ 124.71591895],0,[ 0.],[ 132.27457184]
71.0,15.4161,50.0784,[ 0.],[ 124.71001652],0,[ 0.],[ 132.26003719]
71.0,15.4161,50.0784,[ 0.],[ 124.70411473],0,[ 0.],[ 132.24550413]
71.0,15.4161,50.0784,[ 0.],[ 124.69821359],0,[ 0.],[ 132.23097268]
71.0,15.4161,50.0784,[ 0.],[ 124.6923131],0,[ 0.],[ 132.21644282]
71.0,15.4161,50.0784,[ 0.],[ 124.68641326],0,[ 0.],[ 132.20191455]
71.0,15.4161,50.0784,[ 0.],[ 124.68051407],0,[ 0.],[ 132.18738788]
71.0,15.4161,50.0784,[ 0.],[ 124.67461552],0,[ 0.],[ 132.17286281]
71.0,15.4161,50.0784,[ 0.],[ 124.66871762],0,[ 0.],[ 132.15833934]
71.0,15.4161,50.0784,[ 0.],[ 124.66282037],0,[ 0.],[ 132.14381746]
71.0,15.4161,50.0784,[ 0.],[ 124.65692377],0,[ 0.],[ 132.12929717]
71.0,15.4161,50.0784,[ 0.],[ 124.65102782],0,[ 0.],[ 132.11477848]
71.0,15.4161,50.0784,[ 0.],[ 124.64513251],0,[ 0.],[ 132.10026139]
71.0,15.3258,50.0784,[ 0.],[ 124.63923786],0,[ 0.],[ 132.08574589]
71.0,15.3258,50.0784,[ 0.],[ 124.63334385],0,[ 0.],[ 132.07123199]
71.0,15.3258,50.0784,[ 0.],[ 124.62745048],0,[ 0.],[ 132.05671968]
71.0,15.3258,50.0784,[ 0.],[ 124.62155777],0,[ 0.],[ 132.04220897]
71.0,15.3258,50.0784,[ 0.],[ 124.6156657],0,[ 0.],[ 132.02769985]
71.0,15.3258,50.0784,[ 0.],[ 124.60977428],0,[ 0.],[ 132.01319232]
71.0,15.3258,50.0784,[ 0.],[ 124.60388351],0,[ 0.],[ 131.99868639]
71.0,15.3258,50.0784,[ 0.],[ 124.59799338],0,[ 0.],[ 131.98418205]
71.0,15.3258,50.0784,[ 0.],[ 124.59210391],0,[ 0.],[ 131.96967931]
71.0,15.3258,50.0784,[ 0.],[ 124.58621508],0,[ 0.],[ 131.95517816]
71.0,15.3258,50.0784,[ 0.],[ 124.58032689],0,[ 0.],[ 131.9406786]
71.0,15.3258,50.0784,[ 0.],[ 124.57443935],0,[ 0.],[ 131.92618064]
71.0,15.3258,50.0784,[ 0.],[ 124.56855246],0,[ 0.],[ 131.91168427]
71.0,15.3258,50.0784,[ 0.],[ 124.56266622],0,[ 0.],[ 131.89718949]
71.0,15.3258,50.0784,[ 0.],[ 124.55678063],0,[ 0.],[ 131.88269631]
71.0,15.3258,50.0784,[ 0.],[ 124.55089568],0,[ 0.],[ 131.86820472]
71.0,15.3258,50.0784,[ 0.],[ 124.54501137],0,[ 0.],[ 131.85371472]
71.0,15.3258,50.0784,[ 0.],[ 124.53912772],0,[ 0.],[ 131.83922631]
71.0,15.3258,50.0784,[ 0.],[ 124.53324471],0,[ 0.],[ 131.8247395]
71.0,15.3258,50.0784,[ 0.],[ 124.52736234],0,[ 0.],[ 131.81025427]
71.0,15.3258,50.0784,[ 0.],[ 124.52148063],0,[ 0.],[ 131.79577064]
71.0,15.3258,50.0784,[ 0.],[ 124.51559956],0,[ 0.],[ 131.7812886]
71.0,15.3258,50.0784,[ 0.],[ 124.50971913],0,[ 0.],[ 131.76680815]
71.0,15.3258,50.0784,[ 0.],[ 124.50383935],0,[ 0.],[ 131.7523293]
71.0,15.3258,50.0784,[ 0.],[ 124.49796022],0,[ 0.],[ 131.73785203]
71.0,15.3258,50.0784,[ 0.],[ 124.49208174],0,[ 0.],[ 131.72337635]
71.0,15.3258,50.0784,[ 0.],[ 124.4862039],0,[ 0.],[ 131.70890227]
71.0,15.3258,50.0784,[ 0.],[ 124.4803267],0,[ 0.],[ 131.69442977]
71.0,15.3258,50.0784,[ 0.],[ 124.47445015],0,[ 0.],[ 131.67995887]
71.0,15.3258,50.0784,[ 0.],[ 124.46857425],0,[ 0.],[ 131.66548956]
71.0,15.3258,50.0784,[ 0.],[ 124.46269899],0,[ 0.],[ 131.65102183]
71.0,15.3258,50.0784,[ 0.],[ 124.45682438],0,[ 0.],[ 131.6365557]
71.0,15.3258,50.0784,[ 0.],[ 124.45095042],0,[ 0.],[ 131.62209115]
71.0,15.3258,50.0784,[ 0.],[ 124.4450771],0,[ 0.],[ 131.6076282]
71.0,15.3258,50.0784,[ 0.],[ 124.43920442],0,[ 0.],[ 131.59316683]
71.0,15.3258,50.0784,[ 0.],[ 124.43333239],0,[ 0.],[ 131.57870705]
71.0,15.3258,50.0784,[ 0.],[ 124.42746101],0,[ 0.],[ 131.56424886]
71.0,15.3258,50.0784,[ 0.],[ 124.42159027],0,[ 0.],[ 131.54979226]
71.0,15.3258,50.0784,[ 0.],[ 124.41572017],0,[ 0.],[ 131.53533725]
71.0,15.3258,50.0784,[ 0.],[ 124.40985072],0,[ 0.],[ 131.52088383]
71.0,15.3258,50.0784,[ 0.],[ 124.40398192],0,[ 0.],[ 131.50643199]
71.0,15.3258,50.0784,[ 0.],[ 124.39811376],0,[ 0.],[ 131.49198175]
71.0,15.3258,50.0784,[ 0.],[ 124.39224624],0,[ 0.],[ 131.47753309]
71.0,15.3258,50.0784,[ 0.],[ 124.38637937],0,[ 0.],[ 131.46308602]
71.0,15.3258,50.0784,[ 0.],[ 124.38051315],0,[ 0.],[ 131.44864053]
71.0,15.3258,50.0784,[ 0.],[ 124.37464757],0,[ 0.],[ 131.43419664]
71.0,15.3258,50.0784,[ 0.],[ 124.36878263],0,[ 0.],[ 131.41975433]
71.0,15.3258,50.0784,[ 0.],[ 124.36291834],0,[ 0.],[ 131.4053136]
71.0,15.3258,50.0784,[ 0.],[ 124.35705469],0,[ 0.],[ 131.39087447]
71.0,15.3258,50.0784,[ 0.],[ 124.35119169],0,[ 0.],[ 131.37643692]
71.0,15.3258,50.0784,[ 0.],[ 124.34532933],0,[ 0.],[ 131.36200096]
71.0,15.3258,50.0784,[ 0.],[ 124.33946762],0,[ 0.],[ 131.34756658]
71.0,15.3258,50.0784,[ 0.],[ 124.33360655],0,[ 0.],[ 131.33313379]
71.0,15.3258,50.0784,[ 0.],[ 124.32774612],0,[ 0.],[ 131.31870259]
71.0,15.3258,50.0784,[ 0.],[ 124.32188634],0,[ 0.],[ 131.30427297]
71.0,15.3258,50.0784,[ 0.],[ 124.3160272],0,[ 0.],[ 131.28984493]
71.0,15.3258,50.0784,[ 0.],[ 124.3101687],0,[ 0.],[ 131.27541849]
71.0,15.3258,50.0784,[ 0.],[ 124.30431085],0,[ 0.],[ 131.26099362]
71.0,15.3258,50.0784,[ 0.],[ 124.29845365],0,[ 0.],[ 131.24657035]
71.0,15.3258,50.0784,[ 0.],[ 124.29259708],0,[ 0.],[ 131.23214865]
71.0,15.0108,50.0784,[ 0.],[ 124.28674116],0,[ 0.],[ 131.21772855]
71.0,15.0108,50.0784,[ 0.],[ 124.28088588],0,[ 0.],[ 131.20331002]
71.0,15.0108,50.0784,[ 0.],[ 124.27503125],0,[ 0.],[ 131.18889308]
71.0,15.0108,50.0784,[ 0.],[ 124.26917726],0,[ 0.],[ 131.17447773]
71.0,15.0108,50.0784,[ 0.],[ 124.26332391],0,[ 0.],[ 131.16006396]
71.0,15.0108,50.0784,[ 0.],[ 124.25747121],0,[ 0.],[ 131.14565177]
71.0,15.0108,50.0784,[ 0.],[ 124.25161915],0,[ 0.],[ 131.13124117]
71.0,15.0108,50.0784,[ 0.],[ 124.24576773],0,[ 0.],[ 131.11683215]
71.0,15.0108,50.0784,[ 0.],[ 124.23991696],0,[ 0.],[ 131.10242471]
71.0,15.0108,50.0784,[ 0.],[ 124.23406683],0,[ 0.],[ 131.08801886]
71.0,15.0108,50.0784,[ 0.],[ 124.22821734],0,[ 0.],[ 131.07361459]
71.0,15.0108,50.0784,[ 0.],[ 124.22236849],0,[ 0.],[ 131.0592119]
71.0,15.0108,50.0784,[ 0.],[ 124.21652029],0,[ 0.],[ 131.04481079]
71.0,15.0108,50.0784,[ 0.],[ 124.21067273],0,[ 0.],[ 131.03041127]
71.0,15.0108,50.0784,[ 0.],[ 124.20482581],0,[ 0.],[ 131.01601333]
71.0,15.0108,50.0784,[ 0.],[ 124.19897953],0,[ 0.],[ 131.00161697]
71.0,15.0108,50.0784,[ 0.],[ 124.1931339],0,[ 0.],[ 130.9872222]
71.0,15.0108,50.0784,[ 0.],[ 124.18728891],0,[ 0.],[ 130.972829]
71.0,15.0108,50.0784,[ 0.],[ 124.18144456],0,[ 0.],[ 130.95843739]
71.0,15.0108,50.0784,[ 0.],[ 124.17560085],0,[ 0.],[ 130.94404736]
71.0,15.0108,50.0784,[ 0.],[ 124.16975779],0,[ 0.],[ 130.9296589]
71.0,15.0108,50.0784,[ 0.],[ 124.16391537],0,[ 0.],[ 130.91527204]
71.0,15.0108,50.0784,[ 0.],[ 124.15807359],0,[ 0.],[ 130.90088675]
71.0,15.0108,50.0784,[ 0.],[ 124.15223245],0,[ 0.],[ 130.88650304]
71.0,15.0108,50.0784,[ 0.],[ 124.14639195],0,[ 0.],[ 130.87212091]
71.0,15.0108,50.0784,[ 0.],[ 124.1405521],0,[ 0.],[ 130.85774036]
71.0,15.0108,50.0784,[ 0.],[ 124.13471288],0,[ 0.],[ 130.8433614]
71.0,15.0108,50.0784,[ 0.],[ 124.12887431],0,[ 0.],[ 130.82898401]
71.0,15.0108,50.0784,[ 0.],[ 124.12303638],0,[ 0.],[ 130.8146082]
71.0,15.0108,50.0784,[ 0.],[ 124.11719909],0,[ 0.],[ 130.80023397]
71.0,15.0108,50.0784,[ 0.],[ 124.11136245],0,[ 0.],[ 130.78586133]
71.0,15.0108,50.0784,[ 0.],[ 124.10552644],0,[ 0.],[ 130.77149026]
71.0,15.0108,50.0784,[ 0.],[ 124.09969108],0,[ 0.],[ 130.75712077]
71.0,15.0108,50.0784,[ 0.],[ 124.09385635],0,[ 0.],[ 130.74275286]
71.0,15.0108,50.0784,[ 0.],[ 124.08802227],0,[ 0.],[ 130.72838653]
71.0,15.0108,50.0784,[ 0.],[ 124.08218883],0,[ 0.],[ 130.71402177]
71.0,15.0108,50.0784,[ 0.],[ 124.07635603],0,[ 0.],[ 130.6996586]
71.0,15.0108,50.0784,[ 0.],[ 124.07052387],0,[ 0.],[ 130.685297]
71.0,15.0108,50.0784,[ 0.],[ 124.06469235],0,[ 0.],[ 130.67093698]
71.0,15.0108,50.0784,[ 0.],[ 124.05886147],0,[ 0.],[ 130.65657854]
71.0,15.0108,50.0784,[ 0.],[ 124.05303124],0,[ 0.],[ 130.64222168]
71.0,15.0108,50.0784,[ 0.],[ 124.04720164],0,[ 0.],[ 130.62786639]
71.0,15.0108,50.0784,[ 0.],[ 124.04137268],0,[ 0.],[ 130.61351269]
71.0,15.0108,50.0784,[ 0.],[ 124.03554437],0,[ 0.],[ 130.59916056]
71.0,15.0108,50.0784,[ 0.],[ 124.0297167],0,[ 0.],[ 130.58481]
71.0,15.0108,50.0784,[ 0.],[ 124.02388966],0,[ 0.],[ 130.57046102]
71.0,15.0108,50.0784,[ 0.],[ 124.01806327],0,[ 0.],[ 130.55611362]
71.0,15.0108,50.0784,[ 0.],[ 124.01223751],0,[ 0.],[ 130.5417678]
71.0,15.0108,50.0784,[ 0.],[ 124.0064124],0,[ 0.],[ 130.52742355]
71.0,15.0108,50.0784,[ 0.],[ 124.00058793],0,[ 0.],[ 130.51308088]
71.0,15.0108,50.0784,[ 0.],[ 123.99476409],0,[ 0.],[ 130.49873979]
71.0,15.0108,50.0784,[ 0.],[ 123.9889409],0,[ 0.],[ 130.48440027]
71.0,15.0108,50.0784,[ 0.],[ 123.98311834],0,[ 0.],[ 130.47006233]
71.0,15.0108,50.0784,[ 0.],[ 123.97729643],0,[ 0.],[ 130.45572596]
71.0,15.0108,50.0784,[ 0.],[ 123.97147516],0,[ 0.],[ 130.44139116]
71.0,15.0108,50.0784,[ 0.],[ 123.96565452],0,[ 0.],[ 130.42705795]
71.0,15.0108,50.0784,[ 0.],[ 123.95983453],0,[ 0.],[ 130.4127263]
71.0,15.0108,50.0784,[ 0.],[ 123.95401517],0,[ 0.],[ 130.39839624]
71.0,15.0108,50.0784,[ 0.],[ 123.94819646],0,[ 0.],[ 130.38406774]
71.0,15.0108,50.0784,[ 0.],[ 123.94237838],0,[ 0.],[ 130.36974083]
71.0,14.7309,50.0784,[ 0.],[ 123.93656094],0,[ 0.],[ 130.35541548]
71.0,14.7309,50.0784,[ 0.],[ 123.93074414],0,[ 0.],[ 130.34109171]
71.0,14.7309,50.0784,[ 0.],[ 123.92492798],0,[ 0.],[ 130.32676951]
71.0,14.7309,50.0784,[ 0.],[ 123.91911246],0,[ 0.],[ 130.31244889]
71.0,14.7309,50.0784,[ 0.],[ 123.91329758],0,[ 0.],[ 130.29812984]
71.0,14.7309,50.0784,[ 0.],[ 123.90748334],0,[ 0.],[ 130.28381237]
71.0,14.7309,50.0784,[ 0.],[ 123.90166974],0,[ 0.],[ 130.26949646]
71.0,14.7309,50.0784,[ 0.],[ 123.89585677],0,[ 0.],[ 130.25518213]
71.0,14.7309,50.0784,[ 0.],[ 123.89004445],0,[ 0.],[ 130.24086938]
71.0,14.7309,50.0784,[ 0.],[ 123.88423276],0,[ 0.],[ 130.22655819]
71.0,14.7309,50.0784,[ 0.],[ 123.87842171],0,[ 0.],[ 130.21224858]
71.0,14.7309,50.0784,[ 0.],[ 123.8726113],0,[ 0.],[ 130.19794054]
71.0,14.7309,50.0784,[ 0.],[ 123.86680153],0,[ 0.],[ 130.18363408]
71.0,14.7309,50.0784,[ 0.],[ 123.8609924],0,[ 0.],[ 130.16932918]
71.0,14.7309,50.0784,[ 0.],[ 123.85518391],0,[ 0.],[ 130.15502586]
71.0,14.7309,50.0784,[ 0.],[ 123.84937605],0,[ 0.],[ 130.14072411]
71.0,14.7309,50.0784,[ 0.],[ 123.84356883],0,[ 0.],[ 130.12642393]
71.0,14.7309,50.0784,[ 0.],[ 123.83776225],0,[ 0.],[ 130.11212532]
71.0,14.7309,50.0784,[ 0.],[ 123.83195631],0,[ 0.],[ 130.09782829]
71.0,14.7309,50.0784,[ 0.],[ 123.826151],0,[ 0.],[ 130.08353282]
71.0,14.7309,50.0784,[ 0.],[ 123.82034634],0,[ 0.],[ 130.06923892]
71.0,14.7309,50.0784,[ 0.],[ 123.81454231],0,[ 0.],[ 130.0549466]
71.0,14.7309,50.0784,[ 0.],[ 123.80873892],0,[ 0.],[ 130.04065585]
71.0,14.7309,50.0784,[ 0.],[ 123.80293617],0,[ 0.],[ 130.02636666]
71.0,14.7309,50.0784,[ 0.],[ 123.79713405],0,[ 0.],[ 130.01207905]
71.0,14.7309,50.0784,[ 0.],[ 123.79133257],0,[ 0.],[ 129.997793]
71.0,14.7309,50.0784,[ 0.],[ 123.78553173],0,[ 0.],[ 129.98350853]
71.0,14.7309,50.0784,[ 0.],[ 123.77973153],0,[ 0.],[ 129.96922563]
71.0,14.7309,50.0784,[ 0.],[ 123.77393197],0,[ 0.],[ 129.95494429]
71.0,14.7309,50.0784,[ 0.],[ 123.76813304],0,[ 0.],[ 129.94066453]
71.0,14.7309,50.0784,[ 0.],[ 123.76233475],0,[ 0.],[ 129.92638633]
71.0,14.7309,50.0784,[ 0.],[ 123.75653709],0,[ 0.],[ 129.9121097]
71.0,14.7309,50.0784,[ 0.],[ 123.75074008],0,[ 0.],[ 129.89783464]
71.0,14.7309,50.0784,[ 0.],[ 123.7449437],0,[ 0.],[ 129.88356115]
71.0,14.7309,50.0784,[ 0.],[ 123.73914795],0,[ 0.],[ 129.86928923]
71.0,14.7309,50.0784,[ 0.],[ 123.73335285],0,[ 0.],[ 129.85501888]
71.0,14.7309,50.0784,[ 0.],[ 123.72755838],0,[ 0.],[ 129.84075009]
71.0,14.7309,50.0784,[ 0.],[ 123.72176455],0,[ 0.],[ 129.82648287]
71.0,14.7309,50.0784,[ 0.],[ 123.71597135],0,[ 0.],[ 129.81221722]
71.0,14.7309,50.0784,[ 0.],[ 123.71017879],0,[ 0.],[ 129.79795314]
71.0,14.7309,50.0784,[ 0.],[ 123.70438687],0,[ 0.],[ 129.78369063]
71.0,14.7309,50.0784,[ 0.],[ 123.69859558],0,[ 0.],[ 129.76942968]
71.0,14.7309,50.0784,[ 0.],[ 123.69280493],0,[ 0.],[ 129.7551703]
71.0,14.7309,50.0784,[ 0.],[ 123.68701492],0,[ 0.],[ 129.74091248]
71.0,14.7309,50.0784,[ 0.],[ 123.68122554],0,[ 0.],[ 129.72665624]
71.0,14.7309,50.0784,[ 0.],[ 123.6754368],0,[ 0.],[ 129.71240156]
71.0,14.7309,50.0784,[ 0.],[ 123.6696487],0,[ 0.],[ 129.69814844]
71.0,14.7309,50.0784,[ 0.],[ 123.66386123],0,[ 0.],[ 129.68389689]
71.0,14.7309,50.0784,[ 0.],[ 123.65807439],0,[ 0.],[ 129.66964691]
71.0,14.7309,50.0784,[ 0.],[ 123.6522882],0,[ 0.],[ 129.6553985]
71.0,14.7309,50.0784,[ 0.],[ 123.64650263],0,[ 0.],[ 129.64115164]
71.0,14.7309,50.0784,[ 0.],[ 123.64071771],0,[ 0.],[ 129.62690636]
71.0,14.7309,50.0784,[ 0.],[ 123.63493342],0,[ 0.],[ 129.61266264]
71.0,14.7309,50.0784,[ 0.],[ 123.62914976],0,[ 0.],[ 129.59842048]
71.0,14.7309,50.0784,[ 0.],[ 123.62336674],0,[ 0.],[ 129.58417989]
71.0,14.7309,50.0784,[ 0.],[ 123.61758436],0,[ 0.],[ 129.56994087]
71.0,14.7309,50.0784,[ 0.],[ 123.61180261],0,[ 0.],[ 129.55570341]
71.0,14.7309,50.0784,[ 0.],[ 123.6060215],0,[ 0.],[ 129.54146751]
71.0,14.7309,50.0784,[ 0.],[ 123.60024102],0,[ 0.],[ 129.52723318]
71.0,14.7309,50.0784,[ 0.],[ 123.59446118],0,[ 0.],[ 129.51300041]
71.0,14.5502,50.0784,[ 0.],[ 123.58868197],0,[ 0.],[ 129.49876921]
71.0,14.5502,50.0784,[ 0.],[ 123.5829034],0,[ 0.],[ 129.48453957]
71.0,14.5502,50.0784,[ 0.],[ 123.57712546],0,[ 0.],[ 129.47031149]
71.0,14.5502,50.0784,[ 0.],[ 123.57134816],0,[ 0.],[ 129.45608498]
71.0,14.5502,50.0784,[ 0.],[ 123.56557149],0,[ 0.],[ 129.44186003]
71.0,14.5502,50.0784,[ 0.],[ 123.55979546],0,[ 0.],[ 129.42763664]
71.0,14.5502,50.0784,[ 0.],[ 123.55402006],0,[ 0.],[ 129.41341482]
71.0,14.5502,50.0784,[ 0.],[ 123.5482453],0,[ 0.],[ 129.39919456]
71.0,14.5502,50.0784,[ 0.],[ 123.54247117],0,[ 0.],[ 129.38497586]
71.0,14.5502,50.0784,[ 0.],[ 123.53669767],0,[ 0.],[ 129.37075872]
71.0,14.5502,50.0784,[ 0.],[ 123.53092481],0,[ 0.],[ 129.35654315]
71.0,14.5502,50.0784,[ 0.],[ 123.52515259],0,[ 0.],[ 129.34232914]
71.0,14.5502,50.0784,[ 0.],[ 123.519381],0,[ 0.],[ 129.32811669]
71.0,14.5502,50.0784,[ 0.],[ 123.51361004],0,[ 0.],[ 129.3139058]
71.0,14.5502,50.0784,[ 0.],[ 123.50783972],0,[ 0.],[ 129.29969647]
71.0,14.5502,50.0784,[ 0.],[ 123.50207003],0,[ 0.],[ 129.28548871]
71.0,14.5502,50.0784,[ 0.],[ 123.49630097],0,[ 0.],[ 129.2712825]
71.0,14.5502,50.0784,[ 0.],[ 123.49053255],0,[ 0.],[ 129.25707786]
71.0,14.5502,50.0784,[ 0.],[ 123.48476476],0,[ 0.],[ 129.24287478]
71.0,14.5502,50.0784,[ 0.],[ 123.47899761],0,[ 0.],[ 129.22867326]
71.0,14.5502,50.0784,[ 0.],[ 123.47323109],0,[ 0.],[ 129.2144733]
71.0,14.5502,50.0784,[ 0.],[ 123.4674652],0,[ 0.],[ 129.2002749]
71.0,14.5502,50.0784,[ 0.],[ 123.46169995],0,[ 0.],[ 129.18607806]
71.0,14.5502,50.0784,[ 0.],[ 123.45593533],0,[ 0.],[ 129.17188277]
71.0,14.5502,50.0784,[ 0.],[ 123.45017134],0,[ 0.],[ 129.15768905]
71.0,14.5502,50.0784,[ 0.],[ 123.44440799],0,[ 0.],[ 129.14349689]
71.0,14.5502,50.0784,[ 0.],[ 123.43864527],0,[ 0.],[ 129.12930629]
71.0,14.5502,50.0784,[ 0.],[ 123.43288319],0,[ 0.],[ 129.11511725]
71.0,14.5502,50.0784,[ 0.],[ 123.42712173],0,[ 0.],[ 129.10092976]
71.0,14.5502,50.0784,[ 0.],[ 123.42136091],0,[ 0.],[ 129.08674384]
71.0,14.5502,50.0784,[ 0.],[ 123.41560073],0,[ 0.],[ 129.07255947]
71.0,14.5502,50.0784,[ 0.],[ 123.40984117],0,[ 0.],[ 129.05837667]
71.0,14.5502,50.0784,[ 0.],[ 123.40408225],0,[ 0.],[ 129.04419542]
71.0,14.5502,50.0784,[ 0.],[ 123.39832396],0,[ 0.],[ 129.03001573]
71.0,14.5502,50.0784,[ 0.],[ 123.39256631],0,[ 0.],[ 129.0158376]
71.0,14.5502,50.0784,[ 0.],[ 123.38680929],0,[ 0.],[ 129.00166102]
71.0,14.5502,50.0784,[ 0.],[ 123.3810529],0,[ 0.],[ 128.98748601]
71.0,14.5502,50.0784,[ 0.],[ 123.37529714],0,[ 0.],[ 128.97331255]
71.0,14.5502,50.0784,[ 0.],[ 123.36954201],0,[ 0.],[ 128.95914065]
71.0,14.5502,50.0784,[ 0.],[ 123.36378752],0,[ 0.],[ 128.9449703]
71.0,14.5502,50.0784,[ 0.],[ 123.35803366],0,[ 0.],[ 128.93080151]
71.0,14.5502,50.0784,[ 0.],[ 123.35228043],0,[ 0.],[ 128.91663428]
71.0,14.5502,50.0784,[ 0.],[ 123.34652784],0,[ 0.],[ 128.90246861]
71.0,14.5502,50.0784,[ 0.],[ 123.34077587],0,[ 0.],[ 128.88830449]
71.0,14.5502,50.0784,[ 0.],[ 123.33502454],0,[ 0.],[ 128.87414193]
71.0,14.5502,50.0784,[ 0.],[ 123.32927384],0,[ 0.],[ 128.85998093]
71.0,14.5502,50.0784,[ 0.],[ 123.32352377],0,[ 0.],[ 128.84582148]
71.0,14.5502,50.0784,[ 0.],[ 123.31777434],0,[ 0.],[ 128.83166359]
71.0,14.5502,50.0784,[ 0.],[ 123.31202553],0,[ 0.],[ 128.81750725]
71.0,14.5502,50.0784,[ 0.],[ 123.30627736],0,[ 0.],[ 128.80335247]
71.0,14.5502,50.0784,[ 0.],[ 123.30052982],0,[ 0.],[ 128.78919924]
71.0,14.5502,50.0784,[ 0.],[ 123.29478291],0,[ 0.],[ 128.77504757]
71.0,14.5502,50.0784,[ 0.],[ 123.28903663],0,[ 0.],[ 128.76089746]
71.0,14.5502,50.0784,[ 0.],[ 123.28329098],0,[ 0.],[ 128.7467489]
71.0,14.5502,50.0784,[ 0.],[ 123.27754597],0,[ 0.],[ 128.73260189]
71.0,14.5502,50.0784,[ 0.],[ 123.27180158],0,[ 0.],[ 128.71845644]
